variable,type,mean,median,std,variance,min,max,IQR,mode
CDSEXE,quantitative,2.6816563365422654,3.0,0.6703563625065616,0.4493776527530287,2.0,4.0,1.0,
MTREV,quantitative,289.00121983383883,0.0,8959.19747502479,80267219.39649057,0.0,1524490.0,0.0,
NBENF,quantitative,0.2019978900171436,0.0,0.6368441748538122,0.4055705030452329,0.0,6.0,0.0,
CDTMT,quantitative,0.09738889621521825,0.0,0.43138216701589344,0.1860905740193282,0.0,6.0,0.0,
CDDEM,quantitative,1.9998681260714757,2.0,0.011483069495763698,0.00013186088504453874,1.0,2.0,0.0,
ANNEEDEM,quantitative,2003.1567321640512,2004.0,2.184697268719258,4.772902155949384,1999.0,2006.0,4.0,
CDCATCL,quantitative,21.002934194909667,21.0,1.6359187699194764,2.6762302217748526,10.0,40.0,0.0,
AGEAD,quantitative,38.03748516418304,36.0,11.573182675082538,133.93855723083064,19.0,89.0,18.0,
AGEDEM,quantitative,50.08624554925491,50.0,14.505487407701574,210.40916493498895,19.0,102.0,23.0,
ADH,quantitative,12.048760385071871,11.0,9.051471954962066,81.9291445514648,0.0,34.0,16.0,
CDSITFAM,qualitative,,,,,,,,A
DTADH,qualitative,,,,,,,,14/09/1999
DTDEM,qualitative,,,,,,,,23/09/2005
CDMOTDEM,qualitative,,,,,,,,DV
RANGAGEAD,qualitative,,,,,,,,2  26-30
RANGAGEDEM,qualitative,,,,,,,,7  51-55
RANGDEM,qualitative,,,,,,,,6  2004
RANGADH,qualitative,,,,,,,,1  1-4
