ID,CDSEXE,MTREV,NBENF,CDSITFAM,DTADH,CDTMT,CDDEM,DTDEM,CDMOTDEM,CDCATCL,AGEAD
1,2,0,0,A,1972-04-04,0,2,2003-06-25,DV,21,33
2,2,0,0,A,1972-04-12,0,2,2005-07-06,DV,21,55
3,2,0,0,B,1972-07-19,0,2,2001-02-14,DV,21,39
4,3,0,0,M,1972-08-28,0,2,2006-03-09,DV,21,29
5,2,0,0,A,1972-11-06,0,2,1999-03-22,DV,21,45
6,2,0,0,A,1972-12-28,0,2,2000-01-07,DV,21,28
7,2,0,0,A,1973-01-25,0,2,2003-09-02,DV,21,40
8,3,0,0,A,1973-09-26,0,2,2004-07-16,DV,21,42
9,3,0,0,M,1974-08-13,0,2,2006-05-31,DV,21,36
10,2,0,0,A,1974-09-16,0,2,2006-10-17,DV,21,29
11,3,0,0,A,1974-09-16,0,2,2006-03-09,DV,21,28
12,3,0,0,A,1974-12-02,0,2,2003-09-02,DV,21,39
13,3,0,0,A,1976-04-14,0,2,2004-05-04,DV,21,33
14,3,0,0,M,1976-04-29,0,2,2004-06-09,DV,21,26
15,3,0,0,A,1976-06-10,0,2,2003-07-03,DV,21,53
16,4,0,0,C,1976-08-03,0,2,2002-10-15,DV,21,32
17,2,0,0,M,1976-08-09,0,2,2004-12-08,DV,21,37
18,3,0,0,A,1976-10-05,0,2,2004-04-26,DV,21,35
19,3,0,0,A,1977-04-04,0,2,2001-10-24,DV,21,35
20,2,0,0,A,1977-10-10,0,2,1999-05-19,DV,21,29
21,3,0,0,A,1977-12-05,0,2,2001-05-16,DV,21,28
22,2,0,0,A,1978-06-09,0,2,2001-01-25,DV,21,38
23,3,0,0,A,1978-06-29,0,2,2003-04-18,DV,21,58
24,2,0,0,A,1978-10-12,0,2,2004-05-12,DV,21,40
25,3,0,0,A,1978-11-21,0,2,2005-06-29,DV,21,28
26,3,2683,2,D,1978-12-18,0,2,2006-10-23,DV,21,29
27,3,0,0,A,1979-01-18,0,2,2000-10-11,DV,21,59
28,4,0,0,C,1979-03-01,0,2,2003-06-27,DV,21,29
29,2,0,0,A,1979-04-30,0,2,2000-07-06,DA,40,33
30,2,0,0,A,1979-05-30,0,2,2001-10-22,DV,21,33
31,3,0,0,A,1979-12-06,0,2,2003-08-05,DV,21,35
32,4,0,0,C,1980-01-09,0,2,2005-10-19,DV,21,23
33,4,0,0,C,1980-01-11,0,2,2006-01-23,DV,21,39
34,3,0,0,A,1980-02-06,0,2,2001-07-02,DV,21,31
35,3,0,0,A,1980-02-29,0,2,2002-12-06,DV,21,32
36,3,0,0,A,1980-03-31,0,2,2002-05-17,RA,21,55
37,3,0,0,A,1980-05-08,0,2,2005-10-19,DV,21,39
38,2,2600,0,M,1980-06-02,0,2,2006-12-14,DV,21,34
39,2,0,0,A,1980-06-02,0,2,1999-08-10,DV,21,30
40,3,0,0,A,1980-06-11,2,2,2001-03-07,DV,21,53
41,2,0,0,A,1980-06-17,0,2,2001-08-09,DV,21,48
42,3,0,0,A,1980-06-17,0,2,1999-04-19,DV,21,42
43,2,0,0,A,1980-06-17,0,2,2003-06-30,DV,21,43
44,2,0,0,A,1980-09-26,0,2,2004-06-09,DV,21,50
45,3,0,0,A,1980-09-26,0,2,2000-05-19,DV,21,33
46,2,0,0,A,1980-11-10,0,2,1999-05-20,DV,21,23
47,3,0,0,A,1980-11-10,0,2,2005-09-23,DV,21,35
48,2,0,0,A,1980-11-21,0,2,2006-10-30,DV,21,44
49,3,0,0,A,1980-11-24,0,2,2004-05-27,DV,21,19
50,3,0,0,M,1980-12-15,0,2,2005-12-21,DV,21,44
51,2,0,0,A,1981-01-27,0,2,1999-07-05,DV,21,30
52,2,0,0,A,1981-02-02,0,2,2002-02-22,RA,21,25
53,3,0,0,A,1981-02-02,0,2,2002-11-22,DV,21,24
54,3,0,0,A,1981-03-27,0,2,1999-03-24,DV,21,30
55,3,0,0,A,1981-03-30,0,2,2003-07-11,DV,21,23
56,2,0,0,M,1981-04-02,0,2,2006-12-12,DV,21,42
57,2,0,0,A,1981-04-16,0,2,2003-04-07,DV,21,33
58,2,0,0,A,1981-04-16,0,2,2004-09-09,DV,21,35
59,3,0,0,A,1981-05-14,0,2,2006-08-31,DV,21,31
60,3,0,0,A,1981-05-27,0,2,2003-06-30,DV,21,43
61,2,0,0,M,1981-05-27,0,2,2005-11-10,DV,21,36
62,3,0,0,A,1981-06-18,0,2,2000-03-02,DV,21,23
63,3,0,0,A,1981-07-06,0,2,2006-10-30,DV,21,43
64,2,0,0,A,1981-07-10,0,2,2002-12-06,DV,21,33
65,2,0,0,A,1981-09-25,0,2,2001-01-29,DV,21,41
66,3,0,0,M,1982-01-26,0,2,2006-12-12,DV,21,39
67,3,0,0,A,1982-03-16,0,2,2000-03-16,DV,21,33
68,3,0,0,A,1982-03-29,0,2,1999-02-15,DV,21,34
69,2,0,0,M,1982-05-24,0,2,2005-11-10,DV,21,38
70,2,0,0,A,1982-10-08,0,2,2005-08-25,DV,10,21
71,3,0,0,A,1982-11-22,0,2,2001-03-13,DV,21,48
72,2,0,0,A,1983-02-28,0,2,2001-01-11,DV,21,25
73,2,0,0,A,1983-05-06,0,2,2002-03-12,DV,21,41
74,2,0,0,A,1983-07-05,0,2,2000-09-01,DV,21,33
75,2,1522,2,U,1983-11-16,0,2,1999-03-03,DV,21,19
76,2,0,1,M,1983-11-09,0,2,2005-06-23,DV,21,30
77,3,0,0,A,1983-12-12,0,2,2003-06-19,DV,21,41
78,3,0,0,A,1974-10-17,0,2,2001-12-17,DV,21,35
79,3,0,0,A,1975-05-23,0,2,2001-02-13,DV,21,27
80,3,0,0,B,1976-04-20,0,2,2005-10-06,RA,21,27
81,3,0,0,A,1977-11-25,0,2,2006-02-24,DV,21,28
82,2,0,0,A,1977-12-27,0,2,2000-10-27,DV,21,34
83,2,0,0,A,1978-05-02,0,2,1999-10-26,DV,21,23
84,4,0,0,C,1978-07-13,0,2,2004-02-09,DA,21,30
85,2,0,0,A,1978-07-13,0,2,2002-02-21,RA,21,21
86,4,0,0,C,1978-10-06,0,2,2001-08-10,DV,21,26
87,2,0,0,M,1978-10-06,0,2,2006-02-28,DV,21,32
88,3,0,0,A,1979-10-23,0,2,2002-11-18,DV,21,29
89,2,0,0,A,1979-11-13,0,2,2000-03-10,DV,21,35
90,3,0,0,D,1979-12-12,2,2,2003-10-09,DA,21,30
91,3,0,0,A,1980-01-14,0,2,2000-03-17,DV,21,68
92,3,0,0,A,1980-02-19,0,2,2000-10-16,DV,21,34
93,3,0,0,A,1980-05-21,0,2,2000-03-01,DV,21,30
94,3,0,0,A,1980-06-23,0,2,2002-09-12,DV,21,24
95,3,0,0,A,1980-08-05,0,2,2003-03-21,DV,21,49
96,2,0,0,S,1980-08-20,0,2,2006-02-08,DA,21,31
97,2,0,2,M,1980-12-03,0,2,2005-09-02,DV,21,31
98,4,0,0,C,1980-12-03,0,2,2001-03-15,DV,21,42
99,3,0,0,A,1981-02-05,0,2,2001-09-10,DV,21,37
100,2,152449,0,M,1981-02-16,0,2,2003-08-29,DV,21,24
101,2,0,0,A,1981-05-14,0,2,2001-03-26,DV,21,59
102,3,1890,2,M,1981-10-19,0,2,2005-12-13,DV,21,34
103,2,0,0,A,1981-11-23,0,2,2005-02-14,DV,21,40
